male.out.p	female.exit.p	together.p	incubating.p	nest.pick.p	male.food.call.p	female.begging.p	unknown.call.p	food.share.p	intruder.p	vigilance.p	cl.size	n.hatch	egg.loss	n.fledge	max.chick	min.chick	total.chick	mean.chick
69.25722504	2.586274173	8.425657059	86.20898488	6.779648992	0	0.626240855	0	3.701551701	0	3.331396531	4	2	0	1	216.3	216.3	216.3	216.3
59.83179304	4.746180917	1.501887452	77.78601293	0	0	0	0	6.090981212	0	2.707102761	3	3	0	2	228.3	160.6	388.9	194.45
83.14628451	0.572443672	8.620541857	89.01188302	5.895766417	0.064529855	0	0.494483228	6.283769808	0	1.221844129	6	2	2	0	NA	NA	NA	NA
85.76093479	3.877673482	7.237087063	77.37558073	0	0	0	0	3.52209134	0	4.863840421	6	NA	6	0	NA	NA	NA	NA
81.41862841	2.194888399	6.034125957	87.13894118	6.611627655	0.039488817	0	0.214338313	10.21735253	0	2.424456532	4	4	0	3	231.8	199.7	639	213
81.25429609	2.544960402	4.546297698	85.85443419	0	0	0	0	2.669772255	0	0.333721532	5	5	0	2	456.6	216.2	240.4	228.3
86.98074877	0	3.974334365	84.68556798	11.40591133	0.018925307	0	0.14286457	13.31669746	0	0.719821484	5	3	0	0	NA	NA	NA	NA
71.98807024	2.936935487	17.88782375	83.55618832	10.36129696	0	0.136069441	0	2.836010918	0	0	4	4	0	1	261.1	179.2	440.3	220.15
79.18883536	2.161602717	16.36184437	84.9789832	0	0	0	0	5.402639189	0	4.356967088	4	4	0	3	183.2	113.4	569.2	142.3
69.22834725	1.414435509	20.60217338	81.01970223	8.349261332	0.014497792	0	0.430957945	1.528069145	0.169785461	1.188498224	4	1	3	0	172.5	172.5	172.5	172.5
79.26722712	3.127529496	11.5563678	83.99406636	15.7103455	0.054327187	0.24127965	0	2.019389505	0	1.009694752	4	3	0	2	233.8	176.8	410.6	205.3
81.95899849	1.750272969	12.5179907	84.65408676	0	0	0	0	1.538682724	0	2.115688746	5	5	0	2	194.1	166.9	361	180.5
77.71205482	0.713524575	16.30477173	88.30826719	8.453650721	0.02925296	0	0.057514376	3.830744735	0	0.696499043	4	4	0	2	186.8	183.1	369.9	184.95
90.73225269	0.551013731	7.394464634	85.21255147	0	0	0	0	5.904220609	0	1.518228157	6	4	1	0	162.8	162.8	162.8	162.8
70.55949455	6.928091525	22.85884198	86.2167729	10.48272175	0	0.070748863	0	1.352427481	0	1.01432061	4	4	0	4	226.1	163.1	779	194.75
87.37192267	6.97178248	7.405775802	77.86218665	0	0	0	0	5.479664063	0	2.474686996	5	5	0	2	184.9	170.8	355.7	177.85
55.64219828	3.604652035	8.466812546	83.48327899	6.990555094	0.123236241	0	1.060411276	3.923863456	0	4.385494451	5	3	2	2	251.7	229.8	481.5	240.75
71.30307517	6.170834266	4.514245624	77.00574253	0	0	0	0	10.91793002	0	4.185206508	4	4	0	2	242	217	459	229.5
78.56725146	6.124667128	12.84350578	78.00309514	9.532409614	0.006865482	0	0.034341595	3.404371213	0	2.553278409	5	5	0	3	214.5	169.7	554.5	184.83
72.94583769	5.566587597	18.20707937	73.72824028	0	0	0	0	3.501843331	0	9.505003328	3	2	0	2	252.1	218.7	470.8	235.4
76.32219245	1.810847675	19.98351323	85.28845057	4.162532863	0.013036937	0	0.04169342	4.631543336	0	7.547700251	4	2	0	2	223.2	215.9	439.1	219.55
89.81606337	5.489821572	7.719348688	73.09681067	0	0	0	0	1.780314264	0	9.257634173	4	4	0	2	213	156.9	369.9	184.95
82.17633172	3.16851377	13.19395438	85.41790209	7.377361142	0	0	0	3.688117109	0	3.073430924	3	3	0	3	239	132.4	605.1	201.7
87.30004129	7.269222375	7.4602657	75.98294526	0	0	0	0	2.80845681	0	3.510571012	5	4	0	3	227.5	187.1	611	203.66
77.64913914	3.224538856	16.45802407	82.82129786	0	0	0	0	2.786545506	0	1.857697004	5	5	0	3	169.1	127	443.3	147.77
59.8606248	1.858473223	3.522589796	82.8004938	10.48682536	0.007886634	0	0.034884369	7.302666192	0	1.991636234	5	5	0	1	217.8	217.8	217.8	217.8
55.09473636	19.42301616	5.678508279	67.07467101	0	0	0	0	2.691679095	0	13.79485536	5	0	5	0	NA	NA	NA	NA
80.28894984	4.820884167	14.9130686	69.37083133	5.70686807	0.010013601	0	0	3.812687735	0	2.478247028	5	5	0	0	NA	NA	NA	NA
